ID,FECHA,PUNTO,USERNAME
1.4755E+18,2021-12-27T10:16:05.000-06:00,POINT (-101.4721204 24.07030119),HiPeople_21
1.47553E+18,2021-12-27T12:21:12.000-06:00,POINT (-100.43632777 20.67478768),vegafa
1.47554E+18,2021-12-27T12:42:18.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47567E+18,2021-12-27T21:17:03.000-06:00,POINT (-103.61034205 29.16725097),fcat461
1.47567E+18,2021-12-27T21:15:30.000-06:00,POINT (-102.366667 23.316667),Axelwarever
1.47567E+18,2021-12-27T21:09:35.000-06:00,POINT (-98.4471004 18.85377815),LuisargentinoG
1.47545E+18,2021-12-27T06:56:38.000-06:00,POINT (-87.43017621 20.21501858),Qunegond
1.47598E+18,2021-12-28T17:59:45.000-06:00,POINT (-105.52708858 20.77215411),bteaster
1.47599E+18,2021-12-28T18:26:00.000-06:00,POINT (-86.98814394 20.27287068),Qunegond
1.47601E+18,2021-12-28T20:11:21.000-06:00,POINT (-98.197911 19.215288),geolocationms
1.47601E+18,2021-12-28T20:11:33.000-06:00,POINT (-98.197911 19.215288),geolocationms
1.47601E+18,2021-12-28T20:11:36.000-06:00,POINT (-98.197911 19.215288),geolocationms
1.47601E+18,2021-12-28T20:11:44.000-06:00,POINT (-98.197911 19.215288),geolocationms
1.47601E+18,2021-12-28T20:11:31.000-06:00,POINT (-98.197911 19.215288),geolocationms
1.47601E+18,2021-12-28T20:11:57.000-06:00,POINT (-98.197911 19.215288),geolocationms
1.47604E+18,2021-12-28T22:00:51.000-06:00,POINT (-98.197901 19.21529),geolocationms
1.47463E+18,2021-12-25T00:52:07.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47463E+18,2021-12-25T00:20:44.000-06:00,POINT (-102.366667 23.316667),Effatthyma_
1.47478E+18,2021-12-25T10:32:33.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47478E+18,2021-12-25T10:37:03.000-06:00,POINT (-101.4721204 24.07030119),HiPeople_21
1.47482E+18,2021-12-25T13:24:04.000-06:00,POINT (-115.362 32.328),QuakesToday
1.47482E+18,2021-12-25T13:24:08.000-06:00,POINT (-98.8417 19.2333),JCESAR8411
1.47482E+18,2021-12-25T13:23:51.000-06:00,POINT (-115.3618317 32.3278351),everyEarthquake
1.47479E+18,2021-12-25T11:13:36.000-06:00,POINT (-98.9667 19.7333),sahuer20
1.47483E+18,2021-12-25T13:48:32.000-06:00,POINT (-101.4721204 24.07030119),HiPeople_21
1.47487E+18,2021-12-25T16:10:46.000-06:00,POINT (-102.366667 23.316667),bryangrafix
1.47529E+18,2021-12-26T20:19:46.000-06:00,POINT (-100.89963913 25.4739631),EdgarEZenitram
1.47529E+18,2021-12-26T20:20:34.000-06:00,POINT (-97.69860836 16.10728138),moycisneros
1.47506E+18,2021-12-26T05:04:58.000-06:00,POINT (-109.92745042 22.88242576),Luis_dtg
1.47505E+18,2021-12-26T04:06:35.000-06:00,POINT (-98.92 16.96),eq_map_ww2
1.47505E+18,2021-12-26T04:06:35.000-06:00,POINT (-98.92 16.96),eq_map_es2
1.47506E+18,2021-12-26T05:07:33.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47507E+18,2021-12-26T05:35:01.000-06:00,POINT (-103.7667 21.5333),object82
1.47509E+18,2021-12-26T07:17:50.000-06:00,POINT (-86.79627536 21.12356704),ShaktiJuan
1.47509E+18,2021-12-26T07:18:01.000-06:00,POINT (-86.79627536 21.12356704),ShaktiJuan
1.47532E+18,2021-12-26T22:16:06.000-06:00,POINT (-101.4721204 24.07030119),HiPeople_21
1.47532E+18,2021-12-26T22:19:23.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47532E+18,2021-12-26T22:20:23.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47532E+18,2021-12-26T22:20:40.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47532E+18,2021-12-26T22:20:42.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47532E+18,2021-12-26T22:20:52.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47516E+18,2021-12-26T11:45:51.000-06:00,POINT (-87.11906558 20.58250337),SharolinPut
1.47534E+18,2021-12-26T23:36:35.000-06:00,POINT (-101.16 17.59),eq_map_ww2
1.47534E+18,2021-12-26T23:37:03.000-06:00,POINT (-101.16 17.59),DepremDunya
1.47556E+18,2021-12-27T14:01:54.000-06:00,POINT (-102.366667 23.316667),isra9520
1.47559E+18,2021-12-27T16:20:31.000-06:00,POINT (-103.30131418 20.52777189),budacub
1.47559E+18,2021-12-27T16:18:20.000-06:00,POINT (-104.9198 24.8143),MichelleRNews
1.47537E+18,2021-12-27T01:31:40.000-06:00,POINT (-102.167 20.2167),bandallanogrand
1.47537E+18,2021-12-27T01:20:38.000-06:00,POINT (-103.13952464 23.91062008),HiPeople_21
1.47538E+18,2021-12-27T01:58:45.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47557E+18,2021-12-27T14:58:33.000-06:00,POINT (-87.3787 21.5182),victorcenteno
1.47549E+18,2021-12-27T09:39:09.000-06:00,POINT (-86.79627536 21.12356704),mdanielreyes98
1.47573E+18,2021-12-28T01:20:01.000-06:00,POINT (-103.7858 19.2494),object82
